x,y
64.49599838256836,459.2279968261719
59.64659881591797,467.96063232421875
54.79719161987305,476.6932678222656
49.94779014587402,485.4259033203125
45.09838676452637,494.15850830078125
40.24898147583008,502.8911437988281
35.399577140808105,511.623779296875
30.55017375946045,520.3564147949219
25.700771808624268,529.0890502929688
20.851365864276886,537.8217163085938
30.7103271484375,537.6304931640625
40.695556640625,537.3626708984375
50.68072509765625,537.0948486328125
60.6658935546875,536.8270874023438
70.65106201171875,536.5592651367188
80.63629150390625,536.2914428710938
90.6214599609375,536.023681640625
100.60662841796875,535.755859375
110.591796875,535.488037109375
120.57696533203125,535.2202758789062
130.56216430664062,534.9524536132812
140.54733276367188,534.6846313476562
150.53250122070312,534.4168701171875
160.5177001953125,534.1490478515625
170.50286865234375,533.8812255859375
180.488037109375,533.6134643554688
190.4732666015625,533.3456420898438
200.45843505859375,533.0778198242188
210.443603515625,532.81005859375
220.42880249023438,532.542236328125
230.41397094726562,532.2744140625
240.39913940429688,532.0066528320312
250.38433837890625,531.7388305664062
260.3695373535156,531.4710388183594
270.354736328125,531.2032470703125
280.33990478515625,530.9354248046875
290.3250732421875,530.6676330566406
300.3102722167969,530.3998413085938
310.2954406738281,530.1320190429688
320.2806091308594,529.8642272949219
330.26580810546875,529.596435546875
340.2509765625,529.32861328125
350.2361755371094,529.0608215332031
360.22137451171875,528.7930297851562
370.20654296875,528.5252075195312
380.19171142578125,528.2574157714844
390.1768798828125,527.9896240234375
400.1620788574219,527.7218017578125
410.14727783203125,527.4540100097656
420.1324462890625,527.1862182617188
430.11761474609375,526.9184265136719
440.10284423828125,526.6506042480469
450.0880126953125,526.3828125
460.07318115234375,526.1150207519531
470.058349609375,525.8471984863281
480.04351806640625,525.5794067382812
490.0287170410156,525.3116149902344
500.0138854980469,525.0437927246094
509.99908447265625,524.7760009765625
519.9842529296875,524.5082092285156
529.9694213867188,524.2403869628906
539.95458984375,523.9725952148438
549.9398193359375,523.7048034667969
559.9249877929688,523.4369812011719
569.91015625,523.169189453125
579.8953857421875,522.9013977050781
589.8805541992188,522.6335754394531
599.86572265625,522.3657836914062
609.8509521484375,522.0979919433594
619.8361206054688,521.8301696777344
619.9052734375,516.2514953613281
614.5948486328125,507.79132080078125
609.2843017578125,499.3311767578125
603.973876953125,490.8710021972656
598.6633911132812,482.41082763671875
593.3529052734375,473.95068359375
588.0424194335938,465.4905090332031
582.73193359375,457.0303649902344
577.4214477539062,448.5701904296875
572.1109619140625,440.11004638671875
566.8004760742188,431.6498718261719
561.489990234375,423.1897277832031
556.1795043945312,414.72955322265625
550.8690185546875,406.26934814453125
545.5585327148438,397.8091735839844
540.248046875,389.3490295410156
534.9375610351562,380.88885498046875
